location_name,lower_prob,mean_prob,upper_prob,lower_prob_sept,mean_prob_sept,upper_prob_sept
Alabama,0.00807938105537523,0.01606962107283327,0.027752680145660426,0.008813735357731759,0.016890806689937254,0.028440865478255455
Alaska,0.0030124941049422794,0.005329747315612847,0.009018105516407056,0.0030902405183549884,0.00528699533179777,0.008706538900546104
Arizona,0.004522081295371148,0.010765973591224935,0.0194037458799401,0.005214741141879812,0.011789948695628638,0.020646320635903277
Arkansas,0.013024404500756178,0.024168749859169118,0.03935364092565323,0.014018181763958163,0.02507598240309841,0.040266614399079595
California,0.007343727534641624,0.014386991083746414,0.025570339335248236,0.007975110005832878,0.014969334932129735,0.025991339439443838
Colorado,0.000171205104731316,0.0025059579046512984,0.008654789870554928,0.00017554633516799522,0.002554866206750926,0.008688143543999934
Connecticut,0.00016094076016881672,0.0013475142393866188,0.005405350256515114,0.00016269377472276423,0.0013809266967848592,0.005535094369681879
Delaware,0.0005965254414827412,0.005181671328987312,0.014912314482769952,0.0006027127722939028,0.005297022687221957,0.015233901643519374
District of Columbia,0.0007563949789514403,0.00483521761986202,0.014407423885829097,0.0007695724683988216,0.00505353177971205,0.015029422641760737
Florida,0.007394629145519379,0.015523374273555915,0.024824737121978916,0.008452822566921273,0.016921001733096932,0.026407197834669452
Georgia,0.014265408376401693,0.026117041300888176,0.04341332402410641,0.015554680735617294,0.027852285813610333,0.04567994747878087
Hawaii,0.007409373869954347,0.017432984761334362,0.036501339810378335,0.007827702645436876,0.017819795857252633,0.03641789300162726
Idaho,0.00979779694638975,0.017601024585003903,0.027908358117919602,0.010483096585742546,0.01817896942752502,0.028087814377205082
Illinois,0.0008471947323119542,0.006678463971358181,0.014738071189610397,0.0009073340761363344,0.006880909223701945,0.014978928442881253
Indiana,0.0003696292411164878,0.005786483624492906,0.016423136264580813,0.0003897043456251201,0.005923893741424634,0.016651515644396
Iowa,0.007358267803883907,0.022569071367671716,0.058833765970327134,0.007535244859860479,0.022715835147873106,0.05709202173010424
Kansas,0.0037193467645437457,0.0076987152775155705,0.013626577842278588,0.0038668420225214306,0.007775105944638992,0.013480438428538773
Kentucky,0.00470086440972739,0.010155885401639735,0.017667832896454152,0.004905534715723375,0.010276182925652796,0.01760284940280992
