location_name,lower_prob,mean_prob,upper_prob,lower_prob_jan,mean_prob_jan,upper_prob_jan
Alabama,0.0192527849743095,0.027579581394671576,0.04119402569023877,0.01704853740521946,0.026057628728003056,0.04007298187885098
Alaska,0.009454995376956836,0.020365653271030834,0.03989159680439664,0.006507188815078798,0.016905609693451285,0.030590905797513626
Arizona,0.016192315007256652,0.024849858024469516,0.03511291535696573,0.018198305884402813,0.027586492869952878,0.04313132371346147
Arkansas,0.004228691025959093,0.019019344446051724,0.04220865816625381,0.00306757631728111,0.012680540116052652,0.024817801772181864
California,0.010564459561459552,0.016568427188793956,0.024110744694087166,0.022358903095697012,0.037750512579071985,0.05837061483205421
Colorado,0.015719661901258345,0.026867140352735984,0.037772224334451446,0.016919199011163503,0.02823030238917312,0.043802014824779474
Connecticut,0.015220186568439051,0.021474397537454126,0.029418547693339743,0.013601150052690112,0.02065360958194552,0.031156760580372905
Delaware,0.006544245109113345,0.010358398593477525,0.01728333559152218,0.008192548417279911,0.01600046198997442,0.025718443595146606
District of Columbia,0.008060301206669642,0.00986834408161196,0.011947252045646195,0.008937720433347202,0.013030780603858382,0.017958372228424807
Florida,0.008435339042767094,0.010892921963697216,0.013832973526453442,0.011326280529265587,0.01574319727529301,0.02056575598779582
Georgia,0.018434402478632754,0.029163361383652463,0.04400657095898642,0.01572843986404773,0.026900800740944315,0.04076117974652651
Hawaii,0.002131966083116427,0.00277360433418705,0.003545079185300951,0.0028924216313596044,0.004597028533390681,0.0072314583182712935
Idaho,0.02079595678096564,0.03226687662106365,0.04460708115966511,0.015387375768322414,0.027441033379609365,0.04261147718623186
Illinois,0.030292164090365246,0.03867469430451504,0.04911719729463041,0.02179155768695253,0.03057397536375101,0.04022524072448566
Indiana,0.024572966544735196,0.03196737639679271,0.04110197551879981,0.015427792686984274,0.022803418683617717,0.03176594987689365
Iowa,0.005951891992875362,0.014073572431831875,0.02407745992217223,0.0040346125088859845,0.010434554525994722,0.01820193417199387
Kansas,0.025057706938949816,0.04637652151122423,0.08392797617275195,0.017825922914717827,0.03894265947095658,0.06758254222239216
Kentucky,0.009061820658937916,0.01279198033857277,0.01887250365810012,0.00980264435354532,0.01617943329757601,0.02349317514061181
Louisiana,0.011882933585711337,0.018884548536070373,0.026489560029162196,0.01417396883634171,0.02087376418711042,0.027980316341454106
Maine,0.004148685969923244,0.006411046590008998,0.010078742087364805,0.004078025804457298,0.010146777160515312,0.020670330434554535
Maryland,0.013087503452081732,0.0182295218650645,0.023632207102034133,0.018407765587912746,0.02498778691877707,0.031231415818308628
Massachusetts,0.016505631805599687,0.02346073748967693,0.032448976866885956,0.01430291897411138,0.02091660047680512,0.03140521108944609
Michigan,0.021623558304774,0.02884083764129624,0.038689964197175686,0.014498110153836128,0.022199454982544504,0.03253844192659904
Minnesota,0.021622055225668853,0.02811887794126464,0.03563624735146432,0.013537748541547344,0.020081456669028008,0.028056706058267523
Mississippi,0.019409013127469125,0.033270597917074284,0.04739945261735745,0.015246114319100543,0.028212070088267687,0.04463566777724694
Missouri,0.017838775252022245,0.023585513137705023,0.03276275329057658,0.01429140549187264,0.019555371657352702,0.02980475081418225
Montana,0.006142379914681505,0.01660655355079149,0.028494595997314402,0.003976152952616109,0.013701718191796788,0.02445693290129543
Nebraska,0.02028026413489143,0.03179461895642387,0.04589986997447657,0.01191262087179786,0.02241028116805056,0.03441938584804905
Nevada,0.021290068065425813,0.03331822857825962,0.04646368767600113,0.021103572738633676,0.03402744436209797,0.049999747616381436
New Hampshire,0.010501688814912995,0.01733530474666578,0.028595361710133653,0.022781918127583217,0.03888199274528129,0.06941063624814549
New Jersey,0.009904316745498102,0.017506034909626628,0.025962820352400308,0.013178354187786416,0.022330488680646368,0.03102628964336316
New Mexico,0.019959047014949244,0.032017815722976115,0.04329504487552907,0.016270813137829434,0.03053297361866361,0.045144262752367735
New York,0.009484623101558221,0.013432673799040314,0.01951495018042414,0.017590445819310768,0.024869867899027853,0.03277675972102161
North Carolina,0.009958193222361229,0.01320527637046366,0.01787060073561061,0.013767596213427179,0.020939303187588444,0.02906118306589048
North Dakota,0.026565677442159537,0.04687648398136409,0.0682777239095587,0.011387742581023803,0.022972197613469747,0.037552769331713094
Ohio,0.011156362630593226,0.015380941277535034,0.01990827050834202,0.013609508830616,0.01927874121645123,0.024006783105032986
Oklahoma,0.009679003188675083,0.015005547690570968,0.02043113563571079,0.011514890332443092,0.01841550267546428,0.025035188252316525
Oregon,0.005881123753843044,0.01161484067244335,0.017702731336644375,0.008376295591690808,0.02297095356065631,0.03588534338811343
Pennsylvania,0.02232440881876873,0.03547341547924672,0.05320944875703526,0.020368538457734786,0.03849180120959416,0.0619424624496026
Puerto Rico,0.004486256904496216,0.007843881699112156,0.012202316861971832,0.004823211353688603,0.012428771979175917,0.022390441265989644
Rhode Island,0.02298673305202162,0.034744060116790716,0.04893078015248682,0.01787419657131814,0.03129390155078857,0.048061107973369044
South Carolina,0.011459191527330942,0.016057480574915968,0.021743597202559747,0.014345755247705452,0.019751368302192346,0.025567551201092345
South Dakota,0.0319077793025992,0.05039977865333969,0.07219189993986465,0.009465200708537177,0.017639257147136687,0.027312958218022747
Tennessee,0.020383576826013307,0.03141120973994316,0.04310667423145876,0.014822125139445473,0.026870316133650513,0.04204364429412994
Texas,0.019211040938314956,0.024365159152268185,0.03030958620080504,0.016393244615537532,0.019911736798135193,0.026905832045438338
Utah,0.009864649066738205,0.01792381744317823,0.025278497814363626,0.013333396252378392,0.028043169424865524,0.040746369677770185
Vermont,0.005388679668319246,0.007164005287343621,0.009492755661491313,0.003408461642062795,0.006713727820604102,0.011920135892920226
Virginia,0.004521917636451772,0.010115014981009994,0.017591580105748322,0.005354442093048518,0.018666969155344472,0.03388244968659845
Washington,0.0051759052689482905,0.006749817062648353,0.00851973580577194,0.007768508214766994,0.01214774124800687,0.017464642270639357
West Virginia,0.017290917673115407,0.027020909511029822,0.03699618814409092,0.016538928871855145,0.029331525500630725,0.04483773346099374
Wisconsin,0.019237589007992523,0.02590972414118303,0.03403276806546059,0.011428128078551385,0.018375424748139642,0.026702021197395592
Wyoming,0.009439085688266713,0.024301392488155944,0.043293767062009186,0.007655407224990012,0.017475366155262424,0.029682351896147312
International,0.01445625168139708,0.021199633940248267,0.029697273542365246,0.015247219656674754,0.024345724430786985,0.03586274182346986
